id,neighbourhood_cleansed,latitude,longitude,room_type,price,review_scores_rating
644008,Hollywood,34.1016,-118.32992,Private room,60.0,4.69
644009,Hollywood,34.10239,-118.32851,Private room,60.0,4.72
195229,Mar Vista,34.02035,-118.43428,Private room,129.0,4.92
196410,Echo Park,34.08187,-118.25663,Entire home/apt,124.0,4.78
197756,Silver Lake,34.08618,-118.27651,Entire home/apt,143.0,4.74
513635,Venice,33.98952,-118.45224,Entire home/apt,188.0,4.86
514836,Hollywood,34.099049,-118.320488,Private room,140.0,4.84
524134,Venice,33.99826,-118.46464,Private room,189.0,4.92
526012,Venice,33.99518,-118.46315,Entire home/apt,170.0,4.96
528357,Burbank,34.16533,-118.35153,Private room,97.0,4.95
676727,Culver City,34.00985,-118.40897,Entire home/apt,311.0,4.78
198613,Fairfax,34.08538,-118.34455,Entire home/apt,74.0,5.0
678709,Redondo Beach,33.83605,-118.38693,Entire home/apt,575.0,4.99
679695,Rolling Hills Estates,33.77686,-118.32595,Entire home/apt,280.0,4.87
682209,Westchester,33.97007,-118.38655,Entire home/apt,360.0,4.5
686348,Echo Park,34.07537,-118.2562,Private room,45.0,4.81
686726,Burbank,34.16484,-118.33,Entire home/apt,185.0,4.9
686771,Winnetka,34.20838,-118.56482,Private room,95.0,4.93
687106,Westchester,33.95674,-118.4312,Entire home/apt,83.0,4.77
688048,Rancho Palos Verdes,33.7742,-118.3922,Private room,87.0,4.79
658312,South Pasadena,34.10706,-118.16624,Private room,104.0,4.92
663876,Beverly Hills,34.06759,-118.38192,Entire home/apt,274.0,4.5
663889,Topanga,34.08227,-118.59944,Entire home/apt,189.0,4.79
667836,Monrovia,34.14511,-117.99678,Entire home/apt,126.0,4.89
668111,Venice,33.99796,-118.4775,Entire home/apt,157.0,4.95
669590,Hollywood,34.09995,-118.32801,Private room,60.0,4.66
669808,West Los Angeles,34.04995346069336,-118.43560028076172,Entire home/apt,100.0,4.74
669825,West Los Angeles,34.04765319824219,-118.43460083007812,Entire home/apt,97.0,4.65
688583,Silver Lake,34.08974,-118.27021,Entire home/apt,86.0,4.94
692712,Venice,33.99436,-118.47841,Entire home/apt,200.0,4.54
693634,Del Rey,33.98435,-118.42873,Entire home/apt,205.0,4.85
693919,North Hollywood,34.17607,-118.37483,Entire home/apt,190.0,4.7
696061,Venice,33.99254,-118.47777,Entire home/apt,125.0,4.5
696078,Venice,33.99266,-118.47685,Entire home/apt,150.0,4.59
697178,Topanga,34.0962,-118.61714,Entire home/apt,91.0,4.66
700798,Silver Lake,34.09478,-118.25644,Entire home/apt,121.0,4.58
203991,Sawtelle,34.03301,-118.46104,Entire home/apt,104.0,4.67
206662,Hollywood Hills West,34.1042,-118.34748,Private room,59.0,4.83
210489,Pico-Robertson,34.05303,-118.39449,Entire home/apt,330.0,4.57
669955,Sherman Oaks,34.16276,-118.46502,Private room,117.0,4.91
675783,Manhattan Beach,33.90041,-118.40844,Entire home/apt,143.0,5.0
798535,Silver Lake,34.10722,-118.26281,Entire home/apt,128.0,4.87
801336,Santa Monica,34.00236,-118.47622,Private room,106.0,4.94
808891,Fairfax,34.08518,-118.35108,Entire home/apt,95.0,4.52
704727,Silver Lake,34.09689,-118.25959,Entire home/apt,129.0,4.57
707205,Whittier,33.97886,-118.03569,Entire home/apt,214.0,4.74
710420,Mid-Wilshire,34.06791,-118.34731,Entire home/apt,160.0,4.55
713490,Silver Lake,34.07783,-118.2766,Entire home/apt,134.0,4.92
719115,Panorama City,34.21665,-118.443,Private room,41.0,4.85
720051,Mid-City,34.0423,-118.35986,Entire home/apt,90.0,4.56
721679,Westlake,34.07102,-118.26537,Entire home/apt,122.0,5.0
728613,West Hollywood,34.08798,-118.38205,Private room,114.0,4.83
214533,Hollywood,34.09624,-118.34656,Entire home/apt,295.0,5.0
215161,Venice,33.97713,-118.46279,Entire home/apt,189.0,4.91
217666,Fairfax,34.0768,-118.35301,Entire home/apt,70.0,4.79
217971,Pacific Palisades,34.02886,-118.51392,Entire home/apt,248.0,4.94
729486,Playa del Rey,33.95375,-118.43756,Entire home/apt,211.0,4.58
729630,Agoura Hills,34.15642,-118.73423,Private room,85.0,4.48
730669,Hollywood Hills West,34.10654,-118.36747,Entire home/apt,270.0,4.86
730842,Downtown,34.03832,-118.22993,Entire home/apt,190.0,4.9
732392,Beverly Grove,34.07036,-118.38114,Entire home/apt,152.0,4.59
732969,Larchmont,34.08141,-118.3206,Entire home/apt,199.0,5.0
733051,Venice,34.00171,-118.46581,Entire home/apt,295.0,5.0
733673,Hollywood Hills,34.1152,-118.31863,Entire home/apt,808.0,4.84
810082,Hollywood Hills West,34.10051,-118.37997,Private room,199.0,4.94
814971,Sawtelle,34.03315,-118.43823,Private room,100.0,4.14
818266,West Hollywood,34.09151,-118.36679,Entire home/apt,243.0,5.0
818526,Unincorporated Santa Monica Mountains,34.09342,-118.81719,Entire home/apt,1798.0,4.86
820227,Unincorporated Santa Monica Mountains,34.09426,-118.87059,Entire home/apt,214.0,4.85
222200,Venice,33.99314,-118.46053,Entire home/apt,823.0,4.92
226517,San Pedro,33.74232,-118.30168,Private room,38.0,4.85
822340,Hollywood Hills West,34.10714,-118.38935,Entire home/apt,793.0,4.84
823617,Hollywood Hills,34.10814,-118.33978,Entire home/apt,159.0,4.95
826887,Venice,33.99807,-118.47778,Entire home/apt,449.0,4.86
828216,West Los Angeles,34.04911804199219,-118.43807983398438,Entire home/apt,105.0,4.94
828540,Downtown,34.04827,-118.23603,Private room,45.0,4.72
832900,Mar Vista,33.99854,-118.42428,Entire home/apt,250.0,4.97
